source,target,type
79,17479,"link"
79,12912,"link"
79,12877,"link"
79,17471,"link"
79,17630,"link"
79,17675,"link"
79,17654,"link"
79,17652,"link"
79,17642,"link"
79,14204,"link"
79,17641,"link"
79,14202,"link"
79,14220,"link"
79,14200,"link"
79,14190,"link"
79,14194,"link"
79,14192,"link"
79,14219,"link"
79,14197,"link"
79,15857,"link"
79,15861,"link"
79,15876,"link"
79,15853,"link"
79,15883,"link"
79,15895,"link"
79,15887,"link"
79,15877,"link"
79,15880,"link"
79,17807,"link"
79,17805,"link"
79,17793,"link"
79,15843,"link"
79,17809,"link"
79,17802,"link"
79,17957,"link"
79,17817,"link"
79,17960,"link"
79,17952,"link"
79,17782,"link"
79,17816,"link"
79,17955,"link"
79,17981,"link"
79,17956,"link"
79,17790,"link"
79,17966,"link"
79,17963,"link"
79,17864,"link"
79,17944,"link"
79,17798,"link"
79,17953,"link"
79,17799,"link"
79,17954,"link"
79,17884,"link"
79,17883,"link"
79,17854,"link"
79,17847,"link"
79,18017,"link"
79,17993,"link"
79,17852,"link"
79,17849,"link"
79,17994,"link"
79,18076,"link"
79,18059,"link"
79,18055,"link"
79,18011,"link"
79,18026,"link"
79,18007,"link"
79,18004,"link"
79,18001,"link"
79,18052,"link"
79,15198,"link"
79,15196,"link"
79,15193,"link"
79,15191,"link"
79,15188,"link"
79,15186,"link"
79,17650,"link"
79,17885,"link"
79,17857,"link"
79,15167,"link"
79,15179,"link"
79,15165,"link"
79,15159,"link"
79,15183,"link"
79,15158,"link"
79,15160,"link"
79,15153,"link"
79,15155,"link"
79,15150,"link"
79,15147,"link"
79,15142,"link"
79,15181,"link"
79,15131,"link"
79,15177,"link"
79,15136,"link"
79,15134,"link"
79,17845,"link"
79,17841,"link"
79,17843,"link"
79,15175,"link"
79,17838,"link"
79,17834,"link"
79,17818,"link"
79,17836,"link"
79,17826,"link"
79,17832,"link"
79,17823,"link"
79,17812,"link"
79,17820,"link"
79,18145,"link"
79,18147,"link"
79,18142,"link"
79,15162,"link"
79,18139,"link"
79,15144,"link"
79,18165,"link"
79,18167,"link"
79,16885,"link"
79,16886,"link"
79,16879,"link"
79,16889,"link"
79,16874,"link"
79,16898,"link"
79,16890,"link"
79,15140,"link"
79,16894,"link"
79,5106,"link"
79,16892,"link"
79,16864,"link"
79,16895,"link"
79,16897,"link"
